source,line,key,line_sha256,status,replacement,evidence,decision
owtf/settings.py,17,HOME_DIR,66bd8fadeabace301eed515572454e873b97da9346cab0952ef33029e3b3ad4e,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,18,OWTF_CONF,55f1b4076613073ea904a7b8fc1c18b5a6253e4dc5ba9c8c9ba70e9d50cb8d31,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,19,ROOT_DIR,8d380fd39ae6e634cdb6bfc8184038a0ff599bf65ebe91c23984f55d6537e85a,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,20,CONFIG_DIR,44139b6aa94aae2d557f6e123a36042c7b5526cc5fd070adeadc0655e33d2fbe,replaced,Versioned YAML; explicit directories,internal/config/config.go,Executable settings overrides and installation/fallback path constants are not carried forward.
owtf/settings.py,22,DEBUG,3e0894397f19b95999969ec9b34658c0fd4343d5bf885e20aa6d7dfbf0baf4d8,replaced,Typed process diagnostic log level,internal/config/config.go; cmd/owtf/logging.go; cmd/owtf/logging_test.go,debug/info/warn/error process filtering; task evidence and command results unaffected. Not a legacy framework debug-mode equivalent.
owtf/settings.py,24,INTERACTIVE,91ebbdad793cab2dd95070451cb20a4e9b637d30b3420bfdf7be6b7c151d2080,removed,CLI and manifest-defined command execution,internal/plugin/command.go,Legacy GUI-tool selection toggle is not retained.
owtf/settings.py,28,DATABASE_NAME,06eb4ecf4dc865b6e77010746358c0b07b374c7f17432447191bd51cb3cae55b,removed,SQLite,internal/store/store.go,PostgreSQL connection credentials and ports are unnecessary with SQLite.
owtf/settings.py,29,DATABASE_PASS,c3e5b962138192f1d697debb7e065074558198e1caf45abe5e4f6bd371696a61,removed,SQLite,internal/store/store.go,PostgreSQL connection credentials and ports are unnecessary with SQLite.
owtf/settings.py,30,DATABASE_USER,6cf4f78ebc1827a0e03af44df3a19b84a514ca923c66b2f3ef507a27b16d3fa9,removed,SQLite,internal/store/store.go,PostgreSQL connection credentials and ports are unnecessary with SQLite.
owtf/settings.py,31,DATABASE_IP,6b2f83fdb96aa73f7e3d259c201760df4b9f256049498232ea6d0aa6788ddbfc,removed,SQLite,internal/store/store.go,PostgreSQL connection credentials and ports are unnecessary with SQLite.
owtf/settings.py,32,DATABASE_PORT,4ebd3efdfa65f41f0fbafe8846318d24c4598d422aabffd65e35cf32f7662693,removed,SQLite,internal/store/store.go,PostgreSQL connection credentials and ports are unnecessary with SQLite.
owtf/settings.py,35,DATABASE_PASS,cef6bb94c1d18a0118e91582b817b80311112b7244de2b130d0ff4a3698bbc3e,removed,SQLite,internal/store/store.go,PostgreSQL connection credentials and ports are unnecessary with SQLite.
