code,group,type,legacy_name,decision,replacement,status,rationale
OWTF-ABrF-001,auxiliary,bruteforce,Password Bruteforce,defer,,reviewed,Credential attacks need an explicit authorization and safety design before they can be retained.
OWTF-ADoS-001,auxiliary,dos,Direct DoS Launcher,reject,,reviewed,A generic denial-of-service launcher is unsafe and is not required for the retained OWTF testing workflow.
OWTF-AExP-001,auxiliary,exploit,Exploit Launcher,reject,,reviewed,A generic exploit launcher duplicates maintained exploitation frameworks without adding reliable OWTF evidence.
OWTF-ASEL-001,auxiliary,selenium,Selenium URL Launcher,replace,OWTF-WSP-001-active,implemented,The retained Visit URL plugin records the observable fetch outcome without preserving the obsolete Selenium launcher.
OWTF-SMB-001,auxiliary,smb,SMB Handler,reject,,reviewed,Mounting and transferring files over SMB is an operator utility rather than an OWTF testing technique.
PTES-004,network,active,X11 Access Probe,replace,PTES-004-active,implemented,Retain the unauthenticated X11 access check with the maintained Nmap x11-access script.
PTES-001,network,active,FTP Service Probe,replace,PTES-001-active,implemented,"Retain FTP service, version, and anonymous-access probing with maintained Nmap NSE scripts instead of the legacy Metasploit wrapper."
PTES-008,network,active,RPC over HTTP Probe,replace,PTES-008-active,implemented,Retain RPC-over-HTTP service and NTLM metadata discovery without the legacy Metasploit hidden-service wrapper.
PTES-006,network,active,Microsoft SQL Server Probe,replace,PTES-006-active,implemented,Retain unauthenticated service and NTLM metadata discovery; drop credentialed hash and schema extraction from the active probe.
PTES-007,network,active,MSRPC Endpoint Probe,replace,PTES-007-active,implemented,Retain endpoint mapper enumeration with the maintained Nmap msrpc-enum script.
PTES-005,network,active,EMC AlphaStor Probe,reject,,reviewed,The legacy implementation only wrapped obsolete product-specific Metasploit modules and has no broadly useful maintained outcome.
PTES-009,network,active,SMB Service Probe,replace,PTES-009-active,implemented,"Retain protocol, security-mode, capability, and host metadata discovery; drop user, pipe, process, and file enumeration from the default probe."
PTES-002,network,active,SMTP Service Probe,replace,PTES-002-active,implemented,"Retain SMTP service, capability, and NTLM metadata probing; drop the legacy SMTP fuzzer from the default technique."
PTES-010,network,active,SNMP Service Probe,defer,,reviewed,A useful SNMP probe needs explicit UDP and community handling plus a privilege requirement that the current manifest contract cannot express.
PTES-003,network,active,VNC Service Probe,replace,PTES-003-active,implemented,"Retain VNC service, security, and desktop metadata probing with maintained Nmap NSE scripts."
PTES-011,network,bruteforce,DNS Name Discovery,defer,,reviewed,Retain only after a maintained resolver and a bounded typed hostname dictionary are selected.
