code,group,type,name,description,resource_keys,reference,legacy_path
"OWTF-ABrF-001","auxiliary","bruteforce","Password Bruteforce","Password Bruteforce Testing plugin","","","owtf/plugins/auxiliary/bruteforce/Password_Bruteforce@OWTF-ABrF-001.py"
"OWTF-ADoS-001","auxiliary","dos","Direct DoS Launcher","Denial of Service (DoS) Launcher -i.e. for IDS/DoS testing-","DoS_ + args[CATEGORY]","","owtf/plugins/auxiliary/dos/Direct_DoS_Launcher@OWTF-ADoS-001.py"
"OWTF-AExP-001","auxiliary","exploit","Exploit Launcher","Launches all Exploits for a category(ies) -i.e. for IDS testing-","","","owtf/plugins/auxiliary/exploit/Exploit_Launcher@OWTF-AExP-001.py"
"OWTF-ASEL-001","auxiliary","selenium","Selenium URL Launcher","Sends a bunch of URLs through selenium","","","owtf/plugins/auxiliary/selenium/Selenium_URL_Launcher@OWTF-ASEL-001.py"
"OWTF-SMB-001","auxiliary","smb","SMB Handler","Mounts and/or uploads/downloads files to an SMB share -i.e. for IDS testing-","","","owtf/plugins/auxiliary/smb/SMB_Handler@OWTF-SMB-001.py"
"PTES-004","network","active","X11"," x11 Probing ","X11ProbeMethods","","owtf/plugins/network/active/X11@PTES-004.py"
"PTES-001","network","active","ftp"," FTP Probing ","FtpProbeMethods","","owtf/plugins/network/active/ftp@PTES-001.py"
"PTES-008","network","active","http-rpc-epmap"," HTTP Rpc Probing ","HttpRpcProbeMethods","","owtf/plugins/network/active/http-rpc-epmap@PTES-008.py"
"PTES-006","network","active","ms-sql"," MsSql Probing ","MsSqlProbeMethods","","owtf/plugins/network/active/ms-sql@PTES-006.py"
"PTES-007","network","active","msrpc"," MsRpc Probing ","MsRpcProbeMethods","","owtf/plugins/network/active/msrpc@PTES-007.py"
"PTES-005","network","active","ppp"," EMC Probing ","EmcProbeMethods","","owtf/plugins/network/active/ppp@PTES-005.py"
"PTES-009","network","active","smb"," SMB Probing ","SmbProbeMethods","","owtf/plugins/network/active/smb@PTES-009.py"
"PTES-002","network","active","smtp"," SMTP Probing ","SmtpProbeMethods","","owtf/plugins/network/active/smtp@PTES-002.py"
"PTES-010","network","active","snmp"," SNMP Probing ","SnmpProbeMethods","","owtf/plugins/network/active/snmp@PTES-010.py"
"PTES-003","network","active","vnc"," VNC Probing ","VncProbeMethods","","owtf/plugins/network/active/vnc@PTES-003.py"
"PTES-011","network","bruteforce","domain"," DNS Probing ","DomainBruteForcing","","owtf/plugins/network/bruteforce/domain@PTES-011.py"
"PTES-001","network","bruteforce","ftp"," FTP Probing ","BruteFtpProbeMethods","","owtf/plugins/network/bruteforce/ftp@PTES-001.py"
"PTES-006","network","bruteforce","ms-sql"," MsSql Probing ","BruteMsSqlProbeMethods","","owtf/plugins/network/bruteforce/ms-sql@PTES-006.py"
"PTES-009","network","bruteforce","smb"," SMB Probing ","BruteSmbProbeMethods","","owtf/plugins/network/bruteforce/smb@PTES-009.py"
"PTES-010","network","bruteforce","snmp"," SNMP Probing ","BruteSnmpProbeMethods","","owtf/plugins/network/bruteforce/snmp@PTES-010.py"
