area,legacy_capability,status,current_evidence,gap_or_decision,required_proof
sessions,"create, list, inspect, and report a session",implemented,"internal/api/server.go; internal/cli/cli.go; scripts/owtf-smoke.sh","","curl and CLI lifecycle with persisted restart"
sessions,"activate one process-global session",replaced,"all target and run operations require a session ID","explicit session selection avoids hidden global state","concurrent operations against two sessions remain isolated"
sessions,"delete a session and its owned state",implemented,"internal/store/store.go; internal/api/server.go; internal/cli/cli.go; scripts/owtf-smoke.sh","","delete cascade removes targets, runs, tasks, evidence, and artifact records after active work is cancelled"
targets,"normalize, deduplicate, list, inspect, and delete URL, host, IP, and CIDR targets",implemented,"internal/target/normalize.go; internal/api/server.go; scripts/owtf-smoke.sh","","curl and CLI coverage for every target kind"
targets,"edit target scope",implemented,"internal/store/store.go; internal/api/server.go; internal/cli/cli.go; scripts/owtf-smoke.sh","","scope changes persist without rewriting target identity"
targets,"search, filter, and paginate target lists",implemented,"internal/store/store.go; internal/api/server.go; internal/cli/cli.go; scripts/owtf-smoke.sh","","bounded deterministic search and pagination through API and CLI"
urls,"retain and search URLs discovered below a target",implemented,"internal/plugin/manifest.go; internal/runner/runner.go; internal/target/normalize.go; internal/store/store.go; internal/api/server.go; internal/cli/cli.go; internal/report/archive.go; internal/api/server_test.go; scripts/owtf-smoke.sh","","plugin discoveries and transaction URLs are canonically deduplicated with visited and scope state, survive transaction deletion, and are queryable per target through curl and CLI"
techniques,"retain code, title, hint, priority, and reference metadata",implemented,"internal/plugin/manifest.go; internal/store/store.go; internal/api/server.go; internal/cli/cli.go; internal/report/archive.go; scripts/owtf-smoke.sh","","the existing plugin list plus task JSON and offline reports expose the same metadata"
plugins,"discover and filter plugins with requirement availability",implemented,"internal/plugin/manifest.go; internal/api/server.go","","malformed catalogs fail startup and unavailable requirements stay visible"
plugins,"preserve all viable legacy code and type variants",implemented,"docs/architecture/legacy-plugin-inventory.csv; docs/architecture/plugin-support-decisions.csv; internal/plugin/inventory_test.go; plugins/","all 145 variants have enforced decisions; retained replacements map to 85 canonical YAML manifests: 120 variants have implemented replacements, 16 are rejected, and 9 are deferred","catalog and decision tests prevent retained variants from returning to placeholder runtimes"
plugins,"retain OWTF profile selection and execution ordering",implemented,"internal/profile/profile.go; profiles/default.yaml; internal/api/server.go; internal/store/store.go; scripts/owtf-smoke.sh","","default and explicit profiles produce deterministic task order and persist on runs"
plugins,"launch individual, group, all, and quiet selections",implemented,"internal/api/server.go; internal/cli/cli.go","","curl and CLI task sets match the selected group and types"
